1,6,6,1a,1,0b,1,1e,02,b,8,1,7
1,5,8,37,2,1b,0,0a,1b,0,1,0,4
1,2,d,5a,2,0e,1,0f,1b,e,5,1,4
1,7,7,17,0,01,0,0c,05,c,9,1,6
1,7,1,54,0,10,0,12,15,4,a,0,3
1,1,9,76,1,01,0,0c,09,9,8,0,1
2,4,2,33,1,12,1,01,1a,e,9,1,3
2,7,c,66,2,14,1,1c,1a,e,b,0,3
2,4,b,31,2,02,1,18,09,a,f,1,3
2,7,6,25,2,1d,0,10,1c,0,1,0,3
2,4,f,58,0,09,1,0f,18,4,b,1,0
2,6,d,5a,3,01,0,18,19,0,7,1,6
4,6,b,1f,3,0d,1,1e,1e,f,f,0,6
4,4,2,32,3,14,0,0b,0a,f,1,1,4
4,3,8,58,1,14,1,1c,11,3,7,1,2
4,6,9,5d,1,1c,1,1b,1c,c,a,0,1
4,5,a,69,3,1e,0,1c,1e,6,b,1,4
4,6,a,2e,0,1c,0,1b,1c,9,4,1,1
8,7,3,49,3,06,0,17,03,b,5,0,0
8,6,4,0d,3,11,0,16,1a,0,3,0,5
8,2,7,23,0,01,0,0a,06,e,0,0,5
8,4,3,05,1,07,0,1b,14,d,5,0,3
8,7,c,5e,2,01,1,14,01,b,0,1,4
8,0,b,63,2,07,1,1c,1b,a,d,1,4
